CustomerID,Customer Name,Customer Address,Gender,Annual Income,Phone
Geraldine68StudleyStMale135008264678,Geraldine,68 Studley St,Male,13500,8264678
Gia85TurnerStMale14800006848189,Gia,85 Turner St,Male,1480000,6848189
Gianna25BloomburgStMale10350007298798,Gianna,25 Bloomburg St,Male,1035000,7298798
Giselle18/659VictoriaStMale135006257557,Giselle,18/659 Victoria St,Male,13500,6257557
Grace5CharlesStMale14650007081483,Grace,5 Charles St,Male,1465000,7081483
Guadalupe40FederationLaMale8500007315216,Guadalupe,40 Federation La,Male,850000,7315216
Hailey55aParkStMale16000007727879,Hailey,55a Park St,Male,1600000,7727879
Haley16MaugieStMale135007153628,Haley,16 Maugie St,Male,13500,7153628
Hannah53TurnerStMale135006125796,Hannah,53 Turner St,Male,13500,6125796
Haylee99TurnerStMale135007438037,Haylee,99 Turner St,Male,13500,7438037
Hayley129CharlesStMale9410006837588,Hayley,129 Charles St,Male,941000,6837588
Hazel124YarraStMale18760008852693,Hazel,124 Yarra St,Male,1876000,8852693
Heaven121/56NicholsonStMale135006444851,Heaven,121/56 Nicholson St,Male,13500,6444851
Heidi17RaphaelStMale135006052630,Heidi,17 Raphael St,Male,13500,6052630
Heidy98CharlesStMale16360008026457,Heidy,98 Charles St,Male,1636000,8026457
Helen217LangridgeStFemale10000008872334,Helen,217 Langridge St,Female,1000000,8872334
Imani18aMollisonStFemale7450006204993,Imani,18a Mollison St,Female,745000,6204993
Ingrid6/241NicholsonStMale3000007031644,Ingrid,6/241 Nicholson St,Male,300000,7031644
Irene10ValiantStMale10970007179280,Irene,10 Valiant St,Male,1097000,7179280
Iris403/609VictoriaStFemale5420006245275,Iris,403/609 Victoria St,Female,542000,6245275
Isabel2RichStMale135008158584,Isabel,2 Rich St,Male,13500,8158584
Isabela25/84TrenerryCrFemale7600007159142,Isabela,25/84 Trenerry Cr,Female,760000,7159142
Isabella106/119TurnerStFemale4810006376331,Isabella,106/119 Turner St,Female,481000,6376331
Isabelle411/8GrosvenorStMale7000006729016,Isabelle,411/8 Grosvenor St,Male,700000,6729016
Isis40NicholsonStMale13500007270473,Isis,40 Nicholson St,Male,1350000,7270473
Itzel123/56NicholsonStMale7500007281617,Itzel,123/56 Nicholson St,Male,750000,7281617
Izabella22ParkStFemale19850006553517,Izabella,22 Park St,Female,1985000,6553517
Jacqueline13/84TrenerryCrFemale5000006435654,Jacqueline,13/84 Trenerry Cr,Female,500000,6435654
Jada45WilliamStMale11725007906708,Jada,45 William St,Male,1172500,7906708
Jade7/20AbbotsfordStMale4410006536878,Jade,7/20 Abbotsford St,Male,441000,6536878
Jaelynn16WilliamStMale13100006374244,Jaelynn,16 William St,Male,1310000,6374244
Jamie16/11NicholsonStMale135006500188,Jamie,16/11 Nicholson St,Male,13500,6500188
Janelle42HenryStMale12000008574162,Janelle,42 Henry St,Male,1200000,8574162
Jaslene250LangridgeStFemale8470008431840,Jaslene,250 Langridge St,Female,847000,8431840
Jasmin16bMollisonStFemale135008808261,Jasmin,16b Mollison St,Female,13500,8808261
Jasmine78YarraStMale11765008193979,Jasmine,78 Yarra St,Male,1176500,8193979
Jayda196NicholsonStMale9550006422078,Jayda,196 Nicholson St,Male,955000,6422078
Jayla42ValiantStMale8900007658357,Jayla,42 Valiant St,Male,890000,7658357
Jaylah3/72CharlesStMale13300007154079,Jaylah,3/72 Charles St,Male,1330000,7154079
Jayleen1/1MayfieldStMale135007160297,Jayleen,1/1 Mayfield St,Male,13500,7160297
Jaylene13/11NicholsonStMale9000008063218,Jaylene,13/11 Nicholson St,Male,900000,8063218
Jaylin138/56NicholsonStMale10900007356041,Jaylin,138/56 Nicholson St,Male,1090000,7356041
Jaylyn6/219NicholsonStMale5000008854864,Jaylyn,6/219 Nicholson St,Male,500000,8854864
Jazlyn52aWilliamStMale11000008717945,Jazlyn,52a William St,Male,1100000,8717945
Jazmin49ParkStMale13150006719698,Jazmin,49 Park St,Male,1315000,6719698
Jazmine65/80TrenerryCrFemale4800008884589,Jazmine,65/80 Trenerry Cr,Female,480000,8884589
Jennifer119/52NicholsonStFemale4235007091817,Jennifer,119/52 Nicholson St,Female,423500,7091817
Jessica8bParkStFemale135006053967,Jessica,8b Park St,Female,13500,6053967
Jimena5/20AbbotsfordStMale4260006059431,Jimena,5/20 Abbotsford St,Male,426000,6059431
Jocelyn48AbbotsfordStMale14475007474014,Jocelyn,48 Abbotsford St,Male,1447500,7474014
